"mpio_cdpmp","dep_amb","dep_nombre","mun_amb","mun_nombre","amb_code","dep_code","mesas_instaladas","mesas_escrutadas","votantes_potenciales","votantes","no_marcados","nulos","validos","LEONARDO.HUMBERTO.HUERTA.GUTIERREZ","CLAUDIA.NAYIBE.LOPEZ.HERNANDEZ","PALOMA.SUSANA.VALENCIA.LASERNA","JUAN.MANUEL.GALAN.PACHON","VICTORIA.EUGENIA.DAVILA.HOYOS","ENRIQUE.PEÑALOSA.LONDOÑO","JUAN.DANIEL.OVIEDO.ARANGO","MAURICIO.CARDENAS.SANTAMARIA","JUAN.CARLOS.PINZON.BUENO","DAVID.ANDRES.LUNA.SANCHEZ","ANIBAL.GAVIRIA.CORREA","ROY.LEONARDO.BARRERAS.MONTEALEGRE","MARTHA.VIVIANA.BERNAL.AMAYA","HECTOR.ELIAS.PINEDA.SALAZAR","EDISON.LUCIO.TORRES.MORENO","DANIEL.QUINTERO.CALLE"
"91263","6000","AMAZONAS","6000010","EL ENCANTO","6000010","60","3","3",770,51,18,0,33,3,2,8,7,3,2,2,1,1,0,0,3,1,0,0,0
"91405","6000","AMAZONAS","6000013","LA CHORRERA","6000013","60","4","4",1159,21,6,2,13,0,1,7,1,1,0,0,1,0,0,0,0,0,0,1,1
"91407","6000","AMAZONAS","6000016","LA PEDRERA","6000016","60","4","4",1332,77,29,2,46,1,7,6,6,1,0,4,1,2,0,1,1,0,1,5,10
"91430","6000","AMAZONAS","6000017","LA VICTORIA","6000017","60","1","1",76,29,15,5,9,0,0,1,2,0,0,0,3,0,0,0,2,0,0,1,0
"91001","6000","AMAZONAS","6000001","LETICIA","6000001","60","142","142",45321,6713,863,347,5503,44,749,2029,321,275,123,881,44,153,73,49,354,46,29,49,284
"91460","6000","AMAZONAS","6000019","MIRITI - PARANA","6000019","60","3","3",553,11,3,0,8,0,3,1,1,0,1,0,0,0,0,0,1,0,0,0,1
"91530","6000","AMAZONAS","6000030","PUERTO ALEGRIA","6000030","60","1","1",292,5,1,0,4,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0
"91536","6000","AMAZONAS","6000040","PUERTO ARICA","6000040","60","2","2",544,15,2,0,13,2,0,4,2,0,1,3,0,0,0,0,1,0,0,0,0
"91540","6000","AMAZONAS","6000007","PUERTO NARINO","6000007","60","17","17",5199,374,110,18,246,4,24,68,23,9,5,16,3,1,4,1,60,3,6,6,13
"91669","6000","AMAZONAS","6000021","PUERTO SANTANDER","6000021","60","2","2",592,9,6,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
"91798","6000","AMAZONAS","6000022","TARAPACA","6000022","60","6","6",1602,86,24,1,61,1,11,22,6,1,2,5,0,1,0,0,3,2,1,2,4
"05002","0100","ANTIOQUIA","0100004","ABEJORRAL","0100004","01","51","51",15644,4020,475,93,3452,8,79,2645,30,95,13,113,10,60,11,298,20,8,5,10,47
"05004","0100","ANTIOQUIA","0100007","ABRIAQUI","0100007","01","7","7",2062,704,37,14,653,3,6,135,3,7,1,10,3,12,0,460,5,1,1,3,3
"05021","0100","ANTIOQUIA","0100010","ALEJANDRIA","0100010","01","15","15",4733,1024,85,40,899,0,24,555,69,30,5,52,2,23,4,93,27,0,0,4,11
